ID,NAME,ADDRESS,TELEPHONE,TYPE,LATITUDE,LONGITUDE,BEDS
76777520,HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,1700 JAMES BOWIE DRIVE,(281) 420-8765,GENERAL ACUTE CARE,29.74762022,-94.94547682,182
129043230,"WOODS AT PARKSIDE,THE",349 OLDE RIDENOUR ROAD,(614) 471-2552,SPECIAL,40.0271427,-82.88184334,50
130045404,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,(937) 641-3300,CHILDREN,39.77424249,-84.16802733,155
128844512,VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,(330) 726-5021,LONG TERM CARE,41.0051693,-80.63297231,45
129845417,HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,"ONE ELIZABETH PLACE,E3 SUITE A",(615) 393-8879,PSYCHIATRIC,39.74773987,-84.19939762,32
130774801,CHG CORNERSTONE HOSPITAL OF OKLAHOMA,"1900 GORDON COOPER DRIVE,2ND FLOOR",(405) 395-5800,LONG TERM CARE,35.29726161,-96.92709569,34
131074538,MARY HURLEY HOSPITAL,6 NORTH COVINGTON AVENUE,(580) 927-2327,GENERAL ACUTE CARE,34.53934684,-96.2237315,20
5258701,TRINITY HOSPITALS,1 W BURDICK EXPY,(701) 857-5000,GENERAL ACUTE CARE,48.23222596,-101.2940853,251
10527016,LIFEBRITE COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY NORTH,(336) 593-2831,GENERAL ACUTE CARE,36.418068,-80.23107621,93
77677090,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,16750 RED OAK DR,(281) 453-7110,GENERAL ACUTE CARE,30.0142879,-95.44068702,16
78178503,MCCALLEN MEDICAL CENTER,301 WEST EXPRESSWAY 83,(956) 632-4000,GENERAL ACUTE CARE,26.18699237,-98.22573011,441
165358103,PRAIRIE SAINT JOHN'S,510 4TH STREET SOUTH,(701) 476-7200,PSYCHIATRIC,46.86919521,-96.78500526,110
78676458,FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,(940) 567-6633,GENERAL ACUTE CARE,33.23066769,-98.16693865,17
78979410,COVENANT MEDICAL CENTER - LAKESIDE,4000 24TH STREET,(806) 725-0536,GENERAL ACUTE CARE,33.57339136,-101.9019483,196
79277386,WOODLANDS SPECIALTY HOSPITAL PLLC,25440 I 45 NORTH,(281) 602-8160,GENERAL ACUTE CARE,30.13090069,-95.44302258,6
79478404,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,(361) 902-4690,GENERAL ACUTE CARE,27.77809368,-97.39474791,557
79578410,THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,(361) 767-4300,GENERAL ACUTE CARE,27.85491733,-97.63542317,89
80076932,REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVE,(325) 884-2561,GENERAL ACUTE CARE,31.20401254,-101.4610176,7
80175087,BAYLOR EMERGENCY MEDICAL CENTER,"1975 ALPHA,SUITE 100",(214) 294-6200,GENERAL ACUTE CARE,32.9140952,-96.44469769,8
80376248,BAYLOR EMERGENCY MEDICAL CENTER,"620 SOUTH MAIN,SUITE 100",(214) 294-6100,GENERAL ACUTE CARE,32.92816374,-97.2547307,8
80476028,BAYLOR EMERGENCY MEDICAL CENTER,"12500 SOUTH FREEWAY,SUITE 100",(214) 294-6250,GENERAL ACUTE CARE,32.57542408,-97.32118572,8
80576063,BAYLOR EMERGENCY MEDICAL CENTER,"1776 NORTH US 287,SUITE 100",(214) 294-6300,GENERAL ACUTE CARE,32.59672241,-97.14487705,8
165558701,TRINITY HOSPITAL - SAINT JOSEPHS,407 3RD STREET SOUTHEAST,(701) 857-5000,GENERAL ACUTE CARE,48.23216459,-101.2872043,251
80676034,BAYLOR EMERGENCY MEDICAL CENTER,5500 COLLEYVILLE BOULEVARD,(214) 294-6350,GENERAL ACUTE CARE,32.88879527,-97.1511153,8
80876177,MEDICAL CENTER OF ALLIANCE,3101 NORTH TARRANT PARKWAY,(817) 639-1100,GENERAL ACUTE CARE,32.90029252,-97.31392872,55
81176109,TEXAS HEALTH HOSPITAL CLEARFORK,5400 CLEARFORK MAIN ST,(817) 433-7010,GENERAL ACUTE CARE,32.70806442,-97.40231314,54
81376905,SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,(325) 653-6741,GENERAL ACUTE CARE,31.4717117,-100.4024438,108
81977904,DETAR NORTH,101 MEDICAL DRIVE,(361) 573-6100,GENERAL ACUTE CARE,28.85434036,-97.01968631,115
144124501,CENTRA LYNCHBURG GENERAL HOSPITAL,1901 TATE SPRINGS ROAD,(434) 200-3000,GENERAL ACUTE CARE,37.41701527,-79.17157799,385
145323116,SHELTERING ARMS REHABILITATION HOSPITAL,8254 ATLEE ROAD,(804) 342-4320,REHABILITATION,37.62767133,-77.38713225,40
145622601,WINCHESTER REHABILITATION CENTER,333 WEST CORK STREET,(540) 536-5114,REHABILITATION,39.18315586,-78.17239498,153
147322801,SENTARA RMH MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,(540) 689-1000,GENERAL ACUTE CARE,38.40478676,-78.85547297,238
148224211,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,(276) 258-1000,GENERAL ACUTE CARE,36.72291339,-81.91212146,116
147522664,VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,759 SOUTH MAIN STREET,(540) 459-1100,CRITICAL ACCESS,38.8702953,-78.51268401,25
149198168,NAVOS,2600 SW HOLDEN STREET,(206) 933-7000,PSYCHIATRIC,47.53407121,-122.3661718,40
